brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Jeep,Wrangler Sport,2016,"41,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Black,None reported,Yes,"$25,000"
Nissan,350Z Touring,2004,"110,897 mi.",Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Orange,At least 1 accident or damage reported,Yes,"$11,500"
Chevrolet,Corvette Z06,2016,"49,000 mi.",Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,Orange,–,None reported,Yes,"$75,000"
Pontiac,Solstice GXP,2007,"47,000 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,"$13,300"
Hyundai,Sonata SE,2018,"57,690 mi.",Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,"$15,900"
Mercedes-Benz,SLS AMG Base,2012,"17,941 mi.",Gasoline,6.2L V8 32V MPFI DOHC,7-Speed Automatic with Auto-Shift,Iridium Silver Metallic,Red,None reported,Yes,"$226,000"
Lincoln,Navigator Reserve,2018,"54,000 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Brown,Orange,At least 1 accident or damage reported,Yes,"$46,500"
Nissan,Maxima SL,2007,"101,600 mi.",Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,"$6,700"
Ford,Ranger XLT,2021,"89,000 mi.",Gasoline,270.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,"$34,000"
Tesla,Model 3 Long Range,2021,"18,000 mi.",,Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,"$42,500"
Jaguar,XE 35t Premium,2017,"55,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$25,000"
Lincoln,MKZ Reserve,2017,"71,964 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,"$18,750"
Cadillac,Escalade ESV Platinum,2020,"92,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$50,000"
Ford,Fusion SE,2012,"160,000 mi.",E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,None reported,Yes,"$4,500"
Mercedes-Benz,E-Class E 350,2012,"95,816 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,"$12,000"
Jeep,Wrangler Unlimited Sport,2014,"132,600 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,–,At least 1 accident or damage reported,Yes,"$17,000"
Cadillac,DeVille Base,1994,"47,000 mi.",–,–,A/T,White,Blue,None reported,Yes,"$5,990"
Jeep,Wrangler Sport,2010,"149,460 mi.",Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Black,None reported,Yes,"$10,700"
Jeep,Wrangler Sport,2011,"109,646 mi.",Gasoline,3.8L V6 12V MPFI OHV,4-Speed Automatic,Mango Tango Pearlcoat,Black,None reported,,"$16,998"
Acura,MDX 3.5L w/Technology Package,2019,"90,605 mi.",Gasoline,3.5 Liter,Automatic,White,Parchment,None reported,,"$27,698"
Volkswagen,Jetta 1.4T S,2019,"59,000 mi.",Gasoline,147.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$17,000"
Chevrolet,Camaro Z28,2002,"48,000 mi.",Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$21,999"
Chevrolet,Corvette Z06,2016,"41,500 mi.",Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,White,Black,None reported,Yes,"$66,000"
Porsche,Cayman R,2012,"54,000 mi.",Gasoline,330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,None reported,Yes,"$75,000"
Porsche,Cayenne Base,2018,"70,455 mi.",Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$45,855"
Subaru,Crosstrek 2.0i Limited,2018,"84,054 mi.",Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,"$21,499"
BMW,750 Li,2007,"114,528 mi.",Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$9,000"
Jeep,Wrangler Sahara,2013,"111,850 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$26,500"
GMC,Sierra 2500 AT4,2020,"52,673 mi.",Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Beige,None reported,Yes,"$69,500"
BMW,X3 M AWD,2021,"31,500 mi.",Gasoline,473.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$54,500"
BMW,335 i,2011,"73,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,"$16,000"
Jeep,Wrangler Unlimited Sahara,2019,"59,692 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,"$35,900"
Toyota,Corolla S Plus,2016,"68,364 mi.",Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$16,000"
Land,Rover Discovery HSE LUXURY,2017,"47,200 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$29,000"
Mercedes-Benz,E-Class E 450 4MATIC,2021,"18,000 mi.",Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$62,000"
Ford,Fusion Hybrid Base,2012,"158,366 mi.",Hybrid,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$8,250"
BMW,X1 xDrive 28i,2017,"49,700 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,"$26,000"
GMC,Terrain SLE,2010,"81,500 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,Gray,None reported,Yes,"$12,250"
BMW,i3 120Ah w/Range Extender,2019,"16,975 mi.",,170.0HP 0.65L Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,"$26,990"
Porsche,911 GT3,2018,"5,989 mi.",Gasoline,"4L H-6 gasoline direct injection, DOHC, VarioCam Plus variable v","Manual, 6-Spd",GT SILVER,BLACK,None reported,,"$209,000"
Ford,Mustang SVT Cobra,2003,"16,100 mi.",Gasoline,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,M/T,Red,Beige,None reported,Yes,"$35,500"
Land,Rover Range Rover Supercharged LWB,2020,"54,225 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,"$67,500"
RAM,2500 Big Horn,2016,"89,500 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$35,000"
Ford,E250 Cargo,2013,"87,501 mi.",E85 Flex Fuel,225.0HP 4.6L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,"$17,777"
MINI,Countryman Cooper S ALL4,2018,"12,370 mi.",Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,"$28,900"
RAM,1500 Classic Tradesman,2019,"12,466 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,"$28,995"
Volvo,C70 T5,2011,"199,000 mi.",Gasoline,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,At least 1 accident or damage reported,Yes,"$5,500"
Mercedes-Benz,SL-Class SL600 Roadster,2007,"78,200 mi.",Gasoline,510.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,"$22,999"
Toyota,Camry Hybrid XLE,2018,"22,000 mi.",Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Beige,None reported,Yes,"$29,500"
GMC,Acadia SLE-2,2016,"100,795 mi.",Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,White Frost Tri-Coat,Ebony,At least 1 accident or damage reported,Yes,"$12,995"
Chevrolet,Impala 1LT,2019,"99,941 mi.",Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Silver Ice Metallic,Jet Black,None reported,Yes,"$17,816"
Jeep,Grand Cherokee L Laredo,2021,"23,588 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Metallic,Global Black,,,"$38,633"
Jeep,Liberty Sport,2003,"103,000 mi.",Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$5,200"
Jaguar,XF Luxury,2009,"91,491 mi.",Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,"$7,000"
Honda,Civic Sport,2020,"23,131 mi.",Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Crystal Black Pearl,Black,At least 1 accident or damage reported,,"$23,739"
Subaru,Outback 2.5i Premium,2019,"77,000 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Gray,At least 1 accident or damage reported,Yes,"$18,749"
Land,Rover Range Rover Sport HSE Dynamic,2019,"20,500 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,"$76,000"
Tesla,Model Y Long Range,2022,500 mi.,,425.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,"$45,900"
Lexus,ES 350 Base,2019,"49,810 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$33,900"
Honda,CR-V Touring,2022,"20,229 mi.",Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Black,Black,None reported,,"$36,727"
Alfa,Romeo Giulia Quadrifoglio,2021,"10,558 mi.",Gasoline,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$75,000"
BMW,330 i,2005,"59,300 mi.",Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Red,Black,None reported,Yes,"$30,900"
Maybach,Type 57 Base,2004,"34,254 mi.",Gasoline,543.0HP 5.5L 12 Cylinder Engine Gasoline Fuel,5-Speed A/T,Brown,–,None reported,Yes,"$64,250"
Lexus,ES 250 Base,2021,"24,364 mi.",Gasoline,2.5 Liter,Automatic,Eminent White Pearl,Chateau,None reported,,"$37,998"
Mercedes-Benz,Sprinter 2500,2016,"139,200 mi.",Diesel,161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,"$22,000"
Mercedes-Benz,E-Class E 350,2012,"82,046 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,"$13,999"
Dodge,Dakota Sport,1997,"285,000 mi.",Gasoline,230.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,Yes,"$6,399"
RAM,1500 Tradesman/Express,2017,"26,269 mi.",E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Bright White Clearcoat,Black,At least 1 accident or damage reported,,"$25,307"
Mazda,CX-9 Touring,2016,"127,131 mi.",Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,–,At least 1 accident or damage reported,Yes,"$16,770"
Porsche,911 Turbo S,2019,"31,000 mi.",Gasoline,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$179,900"
BMW,X3 xDrive30i,2021,"27,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,"$38,400"
Jeep,Grand Cherokee Limited,2015,"93,400 mi.",E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,"$18,900"
BMW,X7 xDrive40i,2021,"9,200 mi.",Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,"$71,200"
Mercedes-Benz,SL-Class SL 550,2014,"76,850 mi.",Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,At least 1 accident or damage reported,Yes,"$32,999"
Bentley,Continental GT W12,2016,"61,160 mi.",Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$98,000"
Jeep,Wrangler Unlimited,2005,"146,000 mi.",Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$15,900"
Tesla,Model S 100D,2017,"38,957 mi.",,Electric Motor Electric Fuel System,1-Speed A/T,Silver,Beige,None reported,Yes,"$46,750"
Volkswagen,Golf SportWagen TSI SE,2017,"33,850 mi.",Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,"$16,500"
Jeep,Wrangler Unlimited Sahara,2020,"61,830 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,At least 1 accident or damage reported,,"$39,860"
Kia,Sorento SXL,2017,"108,559 mi.",Gasoline,3.3L V6 24V GDI DOHC,6-Speed Automatic,Titanium Silver,Satin Black,None reported,,"$15,998"
Lexus,LS 430 Base,2006,"192,000 mi.",Gasoline,278.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$7,390"
Mercedes-Benz,E-Class E 350 4MATIC,2014,"83,112 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$15,500"
Tesla,Model X 75D,2016,"52,000 mi.",,518.0HP Electric Motor Electric Fuel System,A/T,Black,Beige,None reported,Yes,"$52,000"
RAM,1500 Rebel,2020,"57,300 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$43,500"
MINI,Cooper Base,2008,"104,500 mi.",Gasoline,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,"$4,100"
Jeep,Cherokee Sport,1996,"170,552 mi.",Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,"$6,500"
Ford,Mustang GT Premium,2013,"18,000 mi.",Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$29,000"
Lincoln,Navigator Reserve,2019,"39,000 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,"$51,999"
Jeep,Gladiator Rubicon,2020,"38,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$45,000"
Porsche,Cayman GT4,2016,"15,168 mi.",Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,"$115,000"
Honda,Civic EX,2012,"167,506 mi.",Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Black,–,None reported,Yes,"$6,500"
Jeep,Grand Cherokee Laredo,2012,"166,000 mi.",E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$13,000"
Ford,Shelby GT500 Base,2021,"19,200 mi.",Gasoline,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$82,950"
Land,Rover Defender SE,2022,"46,000 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Green,Beige,None reported,Yes,"$75,000"
Hummer,H3 Base,2007,"201,000 mi.",Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,"$7,200"
Kia,Sportage LX,2014,"87,000 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$8,900"
GMC,Yukon XL 1500 SLT,2015,"145,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$24,950"
Jeep,Wrangler Unlimited Sport,2020,"33,060 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$36,500"
Ford,Bronco XLT,1995,"195,000 mi.",–,–,A/T,Blue,Gray,None reported,Yes,"$15,000"
Tesla,Model S Long Range Plus,2021,"10,550 mi.",,557.0HP Electric Motor Electric Fuel System,A/T,Gray,Black,None reported,Yes,"$67,800"
Audi,A6 3.0T Prestige,2014,"89,500 mi.",Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"$18,000"
Jeep,Wrangler 80th Anniversary,2021,"27,000 mi.",Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Red,Black,None reported,Yes,"$37,500"
Jeep,Wrangler Sport,2010,"87,250 mi.",Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,"$18,500"
Volkswagen,CC 2.0T Sport,2016,"76,495 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,"$13,000"
Cadillac,SRX Luxury Collection,2016,"70,503 mi.",Gasoline,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,None reported,Yes,"$15,500"
Porsche,Cayenne Turbo,2009,"41,965 mi.",Gasoline,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,At least 1 accident or damage reported,Yes,"$35,000"
Toyota,4Runner 4WD,1999,"267,000 mi.",Gasoline,150.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Beige,At least 1 accident or damage reported,Yes,"$8,000"
Mitsubishi,Eclipse GT,2003,"146,000 mi.",Gasoline,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$4,200"
Chevrolet,Corvette Stingray w/1LT,2023,"9,000 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,"$82,500"
Toyota,GR86 Premium,2022,"1,050 mi.",Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,"$40,000"
Land,Rover Range Rover P525 Westminster,2021,"22,270 mi.",Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,Gray,Ebony,None reported,,"$89,900"
Ford,Mustang GT Premium,2012,"19,900 mi.",Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,"$26,500"
Tesla,Model Y Long Range,2020,"19,800 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,White,None reported,Yes,"$44,990"
RAM,1500 Sport,2012,"113,500 mi.",Gasoline,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$17,900"
Lamborghini,Gallardo LP550-2,2013,"22,000 mi.",Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$150,000"
INFINITI,Q60 3.0t Red Sport 400,2022,"3,300 mi.",Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,"$54,000"
Volkswagen,e-Golf SE,2016,"41,615 mi.",,115.0HP Electric Motor Electric Fuel System,1-Speed A/T,Blue,Gray,None reported,Yes,"$12,000"
Tesla,Model X Long Range,2022,"11,860 mi.",,670.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,"$92,500"
BMW,M5 Base,2015,"27,000 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$52,500"
Kia,K5 GT-Line,2022,"22,101 mi.",Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacial White Pearl,Black,At least 1 accident or damage reported,Yes,"$29,430"
Chevrolet,Caprice Classic Base,1996,"60,000 mi.",Gasoline,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Purple,Gray,,,"$18,500"
Subaru,BRZ Limited,2013,"46,452 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"$22,888"
Lincoln,MKZ Reserve I,2019,"36,000 mi.",Gasoline,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$26,500"
Chevrolet,Corvette Grand Sport,2019,"13,100 mi.",Gasoline,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,Silver,Red,None reported,Yes,"$61,950"
Audi,Q5 2.0T Premium Plus,2019,"50,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,"$27,000"
Mazda,CX-9 Signature,2018,"19,500 mi.",Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Brown,None reported,Yes,"$32,250"
Ford,Mustang GT,2016,"36,000 mi.",Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,At least 1 accident or damage reported,Yes,"$31,000"
Rolls-Royce,Wraith Base,2016,"21,000 mi.",Gasoline,624.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,,,"$217,000"
Chevrolet,Camaro 1SS,2022,"6,640 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Orange,Black,None reported,Yes,"$51,999"
BMW,X5 xDrive35i,2016,"74,850 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,At least 1 accident or damage reported,Yes,"$21,900"
Nissan,Maxima SV,2014,"117,000 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,"$10,900"
Toyota,Tundra TRD Pro,2016,"51,400 mi.",E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,,,"$39,900"
INFINITI,QX60 AUTOGRAPH,2022,"6,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gold,Brown,None reported,Yes,"$57,999"
Mitsubishi,Lancer Evolution MR,2006,"128,000 mi.",Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,"$37,999"
BMW,X3 xDrive30i,2021,"15,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Brown,None reported,Yes,"$39,995"
Toyota,Tundra SR5,2016,"119,000 mi.",Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,None reported,Yes,"$29,950"
Lincoln,Mark LT Base,2006,"87,500 mi.",Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$12,999"
Ford,Flex SEL,2011,"149,000 mi.",Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,None reported,Yes,"$7,999"
Audi,Q5 2.0T Premium Plus,2015,"54,700 mi.",E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,"$20,995"
Ford,F-150 XL,2021,"45,979 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Agate Black Metallic,Black,None reported,Yes,"$38,532"
Lincoln,Continental Reserve,2017,"56,846 mi.",Gasoline,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"$29,000"
Tesla,Model X 75D,2017,"94,100 mi.",,518.0HP Electric Motor Electric Fuel System,A/T,Black,Orange,At least 1 accident or damage reported,Yes,"$49,900"
Jeep,Grand Cherokee Limited,2017,"80,150 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,"$22,500"
GMC,Terrain SLT-1,2013,"11,563 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,"$12,300"
Tesla,Model X Long Range,2022,"7,500 mi.",,670.0HP Electric Motor Electric Fuel System,A/T,Silver,Black,None reported,Yes,"$84,000"
Mercedes-Benz,AMG E 53 Base 4MATIC,2021,"15,615 mi.",Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Gray,Black,None reported,Yes,"$78,000"
Subaru,Impreza WRX Base,2013,"113,000 mi.",Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,"$16,000"
